,time,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,2014-08-05 10:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 11:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 12:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 13:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 16:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 17:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 18:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 19:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-05 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-09-20 04:00:00.0,India,117,117,0.585,0,0,0.000,0,0,0.000,0.000,0.000,100.000
TOTAL,,,754,782,3.9053832589692234,0,0,0.0,0,0,0.0,0.0,,
